"login","points"
"arunmahadevan",110
"jdillon",109
"ricellis",109
"tsurdilo",109
"davisp",109
"joshmoore",108
"sfan5",108
"ebruna",108
"Carreau",107
"t-f-w",107
"objectiser",107
"binary1230",107
"dcolligan",106
"304NotModified",106
"Retro64",106
"cobusc",105
"popomore",105
"kitsuta",105
"jacquelinekay",105
"jlindop",104
"zyga",104
"susannasiebert",103
"diguida",102
"ChristophEwertowski",102
"yaoj2",102
"tandraschko",101
"hsadler",101
"zackm0571",101
